Time,Verhicle Numbers(t),Verhicle Numbers(t-1),Verhicle Numbers(t-2),Verhicle Numbers(t-3),Verhicle Numbers(t-4)
2021-07-01 00:00:00,754,0,0,0,0
2021-07-01 00:05:00,340,754,0,0,0
2021-07-01 00:10:00,356,340,754,0,0
2021-07-01 00:15:00,772,356,340,754,0
2021-07-01 00:20:00,635,772,356,340,754
2021-07-01 00:25:00,221,635,772,356,340
2021-07-01 00:30:00,399,221,635,772,356
2021-07-01 00:35:00,884,399,221,635,772
2021-07-01 00:40:00,889,884,399,221,635
2021-07-01 00:45:00,238,889,884,399,221
2021-07-01 00:50:00,965,238,889,884,399
2021-07-01 00:55:00,598,965,238,889,884
2021-07-01 01:00:00,145,598,965,238,889
2021-07-01 01:05:00,674,145,598,965,238
2021-07-01 01:10:00,319,674,145,598,965
2021-07-01 01:15:00,935,319,674,145,598
2021-07-01 01:20:00,316,935,319,674,145
2021-07-01 01:25:00,813,316,935,319,674
2021-07-01 01:30:00,808,813,316,935,319
2021-07-01 01:35:00,325,808,813,316,935
2021-07-01 01:40:00,187,325,808,813,316
2021-07-01 01:45:00,702,187,325,808,813
2021-07-01 01:50:00,233,702,187,325,808
2021-07-01 01:55:00,946,233,702,187,325
2021-07-01 02:00:00,273,946,233,702,187
2021-07-01 02:05:00,735,273,946,233,702
2021-07-01 02:10:00,342,735,273,946,233
2021-07-01 02:15:00,37,342,735,273,946
2021-07-01 02:20:00,487,37,342,735,273
2021-07-01 02:25:00,295,487,37,342,735
2021-07-01 02:30:00,557,295,487,37,342
2021-07-01 02:35:00,605,557,295,487,37
2021-07-01 02:40:00,482,605,557,295,487
2021-07-01 02:45:00,291,482,605,557,295
2021-07-01 02:50:00,764,291,482,605,557
2021-07-01 02:55:00,901,764,291,482,605
2021-07-01 03:00:00,956,901,764,291,482
2021-07-01 03:05:00,916,956,901,764,291
2021-07-01 03:10:00,206,916,956,901,764
2021-07-01 03:15:00,522,206,916,956,901
2021-07-01 03:20:00,391,522,206,916,956
2021-07-01 03:25:00,309,391,522,206,916
2021-07-01 03:30:00,390,309,391,522,206
2021-07-01 03:35:00,212,390,309,391,522
2021-07-01 03:40:00,793,212,390,309,391
2021-07-01 03:45:00,668,793,212,390,309
2021-07-01 03:50:00,52,668,793,212,390
2021-07-01 03:55:00,843,52,668,793,212
2021-07-01 04:00:00,907,843,52,668,793
2021-07-01 04:05:00,146,907,843,52,668
2021-07-01 04:10:00,707,146,907,843,52
2021-07-01 04:15:00,16,707,146,907,843
2021-07-01 04:20:00,436,16,707,146,907
2021-07-01 04:25:00,201,436,16,707,146
2021-07-01 04:30:00,734,201,436,16,707
2021-07-01 04:35:00,141,734,201,436,16
2021-07-01 04:40:00,219,141,734,201,436
2021-07-01 04:45:00,356,219,141,734,201
2021-07-01 04:50:00,85,356,219,141,734
2021-07-01 04:55:00,309,85,356,219,141
2021-07-01 05:00:00,333,309,85,356,219
2021-07-01 05:05:00,439,333,309,85,356
2021-07-01 05:10:00,127,439,333,309,85
2021-07-01 05:15:00,666,127,439,333,309
2021-07-01 05:20:00,484,666,127,439,333
2021-07-01 05:25:00,915,484,666,127,439
2021-07-01 05:30:00,64,915,484,666,127
2021-07-01 05:35:00,70,64,915,484,666
2021-07-01 05:40:00,795,70,64,915,484
2021-07-01 05:45:00,534,795,70,64,915
2021-07-01 05:50:00,842,534,795,70,64
2021-07-01 05:55:00,179,842,534,795,70
2021-07-01 06:00:00,973,179,842,534,795
2021-07-01 06:05:00,3,973,179,842,534
2021-07-01 06:10:00,94,3,973,179,842
2021-07-01 06:15:00,181,94,3,973,179
2021-07-01 06:20:00,940,181,94,3,973
2021-07-01 06:25:00,509,940,181,94,3
2021-07-01 06:30:00,678,509,940,181,94
2021-07-01 06:35:00,135,678,509,940,181
2021-07-01 06:40:00,392,135,678,509,940
2021-07-01 06:45:00,772,392,135,678,509
2021-07-01 06:50:00,394,772,392,135,678
2021-07-01 06:55:00,389,394,772,392,135
2021-07-01 07:00:00,67,389,394,772,392
2021-07-01 07:05:00,348,67,389,394,772
2021-07-01 07:10:00,997,348,67,389,394
2021-07-01 07:15:00,186,997,348,67,389
2021-07-01 07:20:00,109,186,997,348,67
2021-07-01 07:25:00,255,109,186,997,348
2021-07-01 07:30:00,223,255,109,186,997
2021-07-01 07:35:00,257,223,255,109,186
2021-07-01 07:40:00,736,257,223,255,109
2021-07-01 07:45:00,707,736,257,223,255
2021-07-01 07:50:00,693,707,736,257,223
2021-07-01 07:55:00,153,693,707,736,257
2021-07-01 08:00:00,93,153,693,707,736
2021-07-01 08:05:00,79,93,153,693,707
2021-07-01 08:10:00,803,79,93,153,693
2021-07-01 08:15:00,46,803,79,93,153
2021-07-01 08:20:00,325,46,803,79,93
2021-07-01 08:25:00,429,325,46,803,79
2021-07-01 08:30:00,593,429,325,46,803
2021-07-01 08:35:00,896,593,429,325,46
2021-07-01 08:40:00,741,896,593,429,325
2021-07-01 08:45:00,423,741,896,593,429
2021-07-01 08:50:00,344,423,741,896,593
2021-07-01 08:55:00,214,344,423,741,896
2021-07-01 09:00:00,685,214,344,423,741
2021-07-01 09:05:00,21,685,214,344,423
2021-07-01 09:10:00,501,21,685,214,344
2021-07-01 09:15:00,11,501,21,685,214
2021-07-01 09:20:00,803,11,501,21,685
2021-07-01 09:25:00,475,803,11,501,21
2021-07-01 09:30:00,849,475,803,11,501
2021-07-01 09:35:00,534,849,475,803,11
2021-07-01 09:40:00,884,534,849,475,803
2021-07-01 09:45:00,409,884,534,849,475
2021-07-01 09:50:00,687,409,884,534,849
2021-07-01 09:55:00,611,687,409,884,534
2021-07-01 10:00:00,197,611,687,409,884
2021-07-01 10:05:00,146,197,611,687,409
2021-07-01 10:10:00,563,146,197,611,687
2021-07-01 10:15:00,45,563,146,197,611
2021-07-01 10:20:00,655,45,563,146,197
2021-07-01 10:25:00,572,655,45,563,146
2021-07-01 10:30:00,218,572,655,45,563
2021-07-01 10:35:00,34,218,572,655,45
2021-07-01 10:40:00,245,34,218,572,655
2021-07-01 10:45:00,808,245,34,218,572
2021-07-01 10:50:00,851,808,245,34,218
2021-07-01 10:55:00,637,851,808,245,34
2021-07-01 11:00:00,899,637,851,808,245
2021-07-01 11:05:00,761,899,637,851,808
2021-07-01 11:10:00,787,761,899,637,851
2021-07-01 11:15:00,913,787,761,899,637
2021-07-01 11:20:00,541,913,787,761,899
2021-07-01 11:25:00,893,541,913,787,761
2021-07-01 11:30:00,937,893,541,913,787
2021-07-01 11:35:00,629,937,893,541,913
2021-07-01 11:40:00,635,629,937,893,541
2021-07-01 11:45:00,840,635,629,937,893
2021-07-01 11:50:00,828,840,635,629,937
2021-07-01 11:55:00,358,828,840,635,629
2021-07-01 12:00:00,289,358,828,840,635
2021-07-01 12:05:00,463,289,358,828,840
2021-07-01 12:10:00,520,463,289,358,828
2021-07-01 12:15:00,697,520,463,289,358
2021-07-01 12:20:00,549,697,520,463,289
2021-07-01 12:25:00,661,549,697,520,463
2021-07-01 12:30:00,956,661,549,697,520
2021-07-01 12:35:00,272,956,661,549,697
2021-07-01 12:40:00,906,272,956,661,549
2021-07-01 12:45:00,481,906,272,956,661
2021-07-01 12:50:00,124,481,906,272,956
2021-07-01 12:55:00,42,124,481,906,272
2021-07-01 13:00:00,69,42,124,481,906
2021-07-01 13:05:00,519,69,42,124,481
2021-07-01 13:10:00,450,519,69,42,124
2021-07-01 13:15:00,150,450,519,69,42
2021-07-01 13:20:00,869,150,450,519,69
2021-07-01 13:25:00,127,869,150,450,519
2021-07-01 13:30:00,821,127,869,150,450
2021-07-01 13:35:00,412,821,127,869,150
2021-07-01 13:40:00,454,412,821,127,869
2021-07-01 13:45:00,537,454,412,821,127
2021-07-01 13:50:00,503,537,454,412,821
2021-07-01 13:55:00,283,503,537,454,412
2021-07-01 14:00:00,791,283,503,537,454
2021-07-01 14:05:00,425,791,283,503,537
2021-07-01 14:10:00,668,425,791,283,503
2021-07-01 14:15:00,561,668,425,791,283
2021-07-01 14:20:00,936,561,668,425,791
2021-07-01 14:25:00,904,936,561,668,425
2021-07-01 14:30:00,569,904,936,561,668
2021-07-01 14:35:00,430,569,904,936,561
2021-07-01 14:40:00,516,430,569,904,936
2021-07-01 14:45:00,28,516,430,569,904
2021-07-01 14:50:00,629,28,516,430,569
2021-07-01 14:55:00,156,629,28,516,430
2021-07-01 15:00:00,488,156,629,28,516
2021-07-01 15:05:00,728,488,156,629,28
2021-07-01 15:10:00,246,728,488,156,629
2021-07-01 15:15:00,366,246,728,488,156
2021-07-01 15:20:00,280,366,246,728,488
2021-07-01 15:25:00,366,280,366,246,728
2021-07-01 15:30:00,82,366,280,366,246
2021-07-01 15:35:00,895,82,366,280,366
2021-07-01 15:40:00,192,895,82,366,280
2021-07-01 15:45:00,237,192,895,82,366
2021-07-01 15:50:00,727,237,192,895,82
2021-07-01 15:55:00,8,727,237,192,895
2021-07-01 16:00:00,547,8,727,237,192
2021-07-01 16:05:00,90,547,8,727,237
2021-07-01 16:10:00,838,90,547,8,727
2021-07-01 16:15:00,408,838,90,547,8
2021-07-01 16:20:00,517,408,838,90,547
2021-07-01 16:25:00,821,517,408,838,90
2021-07-01 16:30:00,601,821,517,408,838
2021-07-01 16:35:00,880,601,821,517,408
2021-07-01 16:40:00,33,880,601,821,517
2021-07-01 16:45:00,990,33,880,601,821
2021-07-01 16:50:00,914,990,33,880,601
2021-07-01 16:55:00,485,914,990,33,880
2021-07-01 17:00:00,506,485,914,990,33
2021-07-01 17:05:00,776,506,485,914,990
2021-07-01 17:10:00,222,776,506,485,914
2021-07-01 17:15:00,226,222,776,506,485
2021-07-01 17:20:00,710,226,222,776,506
2021-07-01 17:25:00,712,710,226,222,776
2021-07-01 17:30:00,182,712,710,226,222
2021-07-01 17:35:00,989,182,712,710,226
2021-07-01 17:40:00,383,989,182,712,710
2021-07-01 17:45:00,687,383,989,182,712
2021-07-01 17:50:00,912,687,383,989,182
2021-07-01 17:55:00,665,912,687,383,989
2021-07-01 18:00:00,928,665,912,687,383
2021-07-01 18:05:00,470,928,665,912,687
2021-07-01 18:10:00,296,470,928,665,912
2021-07-01 18:15:00,705,296,470,928,665
2021-07-01 18:20:00,907,705,296,470,928
2021-07-01 18:25:00,340,907,705,296,470
2021-07-01 18:30:00,201,340,907,705,296
2021-07-01 18:35:00,31,201,340,907,705
2021-07-01 18:40:00,660,31,201,340,907
2021-07-01 18:45:00,562,660,31,201,340
2021-07-01 18:50:00,853,562,660,31,201
2021-07-01 18:55:00,78,853,562,660,31
2021-07-01 19:00:00,334,78,853,562,660
2021-07-01 19:05:00,680,334,78,853,562
2021-07-01 19:10:00,460,680,334,78,853
2021-07-01 19:15:00,137,460,680,334,78
2021-07-01 19:20:00,991,137,460,680,334
2021-07-01 19:25:00,58,991,137,460,680
2021-07-01 19:30:00,764,58,991,137,460
2021-07-01 19:35:00,878,764,58,991,137
2021-07-01 19:40:00,70,878,764,58,991
2021-07-01 19:45:00,737,70,878,764,58
2021-07-01 19:50:00,971,737,70,878,764
2021-07-01 19:55:00,915,971,737,70,878
2021-07-01 20:00:00,6,915,971,737,70
2021-07-01 20:05:00,511,6,915,971,737
2021-07-01 20:10:00,596,511,6,915,971
2021-07-01 20:15:00,773,596,511,6,915
2021-07-01 20:20:00,198,773,596,511,6
2021-07-01 20:25:00,723,198,773,596,511
2021-07-01 20:30:00,837,723,198,773,596
2021-07-01 20:35:00,710,837,723,198,773
2021-07-01 20:40:00,447,710,837,723,198
2021-07-01 20:45:00,296,447,710,837,723
2021-07-01 20:50:00,177,296,447,710,837
2021-07-01 20:55:00,214,177,296,447,710
2021-07-01 21:00:00,754,214,177,296,447
2021-07-01 21:05:00,35,754,214,177,296
2021-07-01 21:10:00,747,35,754,214,177
2021-07-01 21:15:00,182,747,35,754,214
2021-07-01 21:20:00,407,182,747,35,754
2021-07-01 21:25:00,807,407,182,747,35
2021-07-01 21:30:00,441,807,407,182,747
2021-07-01 21:35:00,906,441,807,407,182
2021-07-01 21:40:00,13,906,441,807,407
2021-07-01 21:45:00,674,13,906,441,807
2021-07-01 21:50:00,327,674,13,906,441
2021-07-01 21:55:00,491,327,674,13,906
2021-07-01 22:00:00,178,491,327,674,13
2021-07-01 22:05:00,631,178,491,327,674
2021-07-01 22:10:00,220,631,178,491,327
2021-07-01 22:15:00,80,220,631,178,491
2021-07-01 22:20:00,625,80,220,631,178
2021-07-01 22:25:00,929,625,80,220,631
2021-07-01 22:30:00,384,929,625,80,220
2021-07-01 22:35:00,101,384,929,625,80
2021-07-01 22:40:00,885,101,384,929,625
2021-07-01 22:45:00,442,885,101,384,929
2021-07-01 22:50:00,950,442,885,101,384
2021-07-01 22:55:00,607,950,442,885,101
2021-07-01 23:00:00,132,607,950,442,885
2021-07-01 23:05:00,58,132,607,950,442
2021-07-01 23:10:00,481,58,132,607,950
2021-07-01 23:15:00,246,481,58,132,607
2021-07-01 23:20:00,536,246,481,58,132
2021-07-01 23:25:00,722,536,246,481,58
2021-07-01 23:30:00,273,722,536,246,481
2021-07-01 23:35:00,841,273,722,536,246
2021-07-01 23:40:00,712,841,273,722,536
2021-07-01 23:45:00,814,712,841,273,722
2021-07-01 23:50:00,58,814,712,841,273
2021-07-01 23:55:00,75,58,814,712,841
2021-07-02 00:00:00,838,75,58,814,712
2021-07-02 00:05:00,789,838,75,58,814
2021-07-02 00:10:00,780,789,838,75,58
2021-07-02 00:15:00,545,780,789,838,75
2021-07-02 00:20:00,427,545,780,789,838
2021-07-02 00:25:00,538,427,545,780,789
2021-07-02 00:30:00,927,538,427,545,780
2021-07-02 00:35:00,274,927,538,427,545
